value,date,realtime_start,realtime_end
1298927,2015-08-01,2018-11-24,2018-11-24
1295450,2015-09-01,2018-11-24,2018-11-24
1289498,2015-10-01,2018-11-24,2018-11-24
1281891,2015-11-01,2018-11-24,2018-11-24
1267759,2015-12-01,2018-11-24,2018-11-24
1261019,2016-01-01,2018-11-24,2018-11-24
1254839,2016-02-01,2018-11-24,2018-11-24
1262459,2016-03-01,2018-11-24,2018-11-24
1269472,2016-04-01,2018-11-24,2018-11-24
1273910,2016-05-01,2018-11-24,2018-11-24
1289491,2016-06-01,2018-11-24,2018-11-24
1286441,2016-07-01,2018-11-24,2018-11-24
1288246,2016-08-01,2018-11-24,2018-11-24
1293527,2016-09-01,2018-11-24,2018-11-24
1299237,2016-10-01,2018-11-24,2018-11-24
1298299,2016-11-01,2018-11-24,2018-11-24
1323973,2016-12-01,2018-11-24,2018-11-24
1333366,2017-01-01,2018-11-24,2018-11-24
1333242,2017-02-01,2018-11-24,2018-11-24
1333933,2017-03-01,2018-11-24,2018-11-24
1336631,2017-04-01,2018-11-24,2018-11-24
1335203,2017-05-01,2018-11-24,2018-11-24
1342005,2017-06-01,2018-11-24,2018-11-24
1345285,2017-07-01,2018-11-24,2018-11-24
1356602,2017-08-01,2018-11-24,2018-11-24
1376904,2017-09-01,2018-11-24,2018-11-24
1385144,2017-10-01,2018-11-24,2018-11-24
1402872,2017-11-01,2018-11-24,2018-11-24
1410433,2017-12-01,2018-11-24,2018-11-24
1406327,2018-01-01,2018-11-24,2018-11-24
1411971,2018-02-01,2018-11-24,2018-11-24
1420071,2018-03-01,2018-11-24,2018-11-24
1429298,2018-04-01,2018-11-24,2018-11-24
1447550,2018-05-01,2018-11-24,2018-11-24
1451814,2018-06-01,2018-11-24,2018-11-24
1455246,2018-07-01,2018-11-24,2018-11-24
1461984,2018-08-01,2018-11-24,2018-11-24
1468036,2018-09-01,2018-11-24,2018-11-24
