value,date,realtime_start,realtime_end
1026552,1996-10-01,2018-11-24,2018-11-24
1032049,1996-11-01,2018-11-24,2018-11-24
990236,1996-12-01,2018-11-24,2018-11-24
1001594,1997-01-01,2018-11-24,2018-11-24
1011593,1997-02-01,2018-11-24,2018-11-24
1010703,1997-03-01,2018-11-24,2018-11-24
1020615,1997-04-01,2018-11-24,2018-11-24
1018096,1997-05-01,2018-11-24,2018-11-24
1012936,1997-06-01,2018-11-24,2018-11-24
1016327,1997-07-01,2018-11-24,2018-11-24
1017650,1997-08-01,2018-11-24,2018-11-24
1029939,1997-09-01,2018-11-24,2018-11-24
1061105,1997-10-01,2018-11-24,2018-11-24
1068905,1997-11-01,2018-11-24,2018-11-24
1031141,1997-12-01,2018-11-24,2018-11-24
1042099,1998-01-01,2018-11-24,2018-11-24
1055958,1998-02-01,2018-11-24,2018-11-24
1060445,1998-03-01,2018-11-24,2018-11-24
1067950,1998-04-01,2018-11-24,2018-11-24
1060760,1998-05-01,2018-11-24,2018-11-24
1049957,1998-06-01,2018-11-24,2018-11-24
1053376,1998-07-01,2018-11-24,2018-11-24
1056507,1998-08-01,2018-11-24,2018-11-24
1067240,1998-09-01,2018-11-24,2018-11-24
1097690,1998-10-01,2018-11-24,2018-11-24
1107522,1998-11-01,2018-11-24,2018-11-24
1062675,1998-12-01,2018-11-24,2018-11-24
1071035,1999-01-01,2018-11-24,2018-11-24
1082979,1999-02-01,2018-11-24,2018-11-24
1090302,1999-03-01,2018-11-24,2018-11-24
1098322,1999-04-01,2018-11-24,2018-11-24
1094943,1999-05-01,2018-11-24,2018-11-24
1086975,1999-06-01,2018-11-24,2018-11-24
1091848,1999-07-01,2018-11-24,2018-11-24
1094423,1999-08-01,2018-11-24,2018-11-24
1107696,1999-09-01,2018-11-24,2018-11-24
1141338,1999-10-01,2018-11-24,2018-11-24
1159390,1999-11-01,2018-11-24,2018-11-24
1121998,1999-12-01,2018-11-24,2018-11-24
1134371,2000-01-01,2018-11-24,2018-11-24
1146568,2000-02-01,2018-11-24,2018-11-24
1150610,2000-03-01,2018-11-24,2018-11-24
1162620,2000-04-01,2018-11-24,2018-11-24
1162809,2000-05-01,2018-11-24,2018-11-24
1162473,2000-06-01,2018-11-24,2018-11-24
1162945,2000-07-01,2018-11-24,2018-11-24
1171166,2000-08-01,2018-11-24,2018-11-24
1178706,2000-09-01,2018-11-24,2018-11-24
1216296,2000-10-01,2018-11-24,2018-11-24
1229002,2000-11-01,2018-11-24,2018-11-24
1180188,2000-12-01,2018-11-24,2018-11-24
1191951,2001-01-01,2018-11-24,2018-11-24
1191439,2001-02-01,2018-11-24,2018-11-24
1186330,2001-03-01,2018-11-24,2018-11-24
1189533,2001-04-01,2018-11-24,2018-11-24
1180738,2001-05-01,2018-11-24,2018-11-24
1161695,2001-06-01,2018-11-24,2018-11-24
1152536,2001-07-01,2018-11-24,2018-11-24
1150828,2001-08-01,2018-11-24,2018-11-24
1152421,2001-09-01,2018-11-24,2018-11-24
1165237,2001-10-01,2018-11-24,2018-11-24
1157597,2001-11-01,2018-11-24,2018-11-24
1103923,2001-12-01,2018-11-24,2018-11-24
1111640,2002-01-01,2018-11-24,2018-11-24
1112071,2002-02-01,2018-11-24,2018-11-24
1109602,2002-03-01,2018-11-24,2018-11-24
1111506,2002-04-01,2018-11-24,2018-11-24
