value,date,realtime_start,realtime_end
1110764,2002-05-01,2018-11-24,2018-11-24
1112640,2002-06-01,2018-11-24,2018-11-24
1119222,2002-07-01,2018-11-24,2018-11-24
1120648,2002-08-01,2018-11-24,2018-11-24
1128786,2002-09-01,2018-11-24,2018-11-24
1130389,2002-10-01,2018-11-24,2018-11-24
1132501,2002-11-01,2018-11-24,2018-11-24
1139700,2002-12-01,2018-11-24,2018-11-24
1139674,2003-01-01,2018-11-24,2018-11-24
1148291,2003-02-01,2018-11-24,2018-11-24
1149028,2003-03-01,2018-11-24,2018-11-24
1150109,2003-04-01,2018-11-24,2018-11-24
1145303,2003-05-01,2018-11-24,2018-11-24
1142157,2003-06-01,2018-11-24,2018-11-24
1139509,2003-07-01,2018-11-24,2018-11-24
1132930,2003-08-01,2018-11-24,2018-11-24
1136903,2003-09-01,2018-11-24,2018-11-24
1142983,2003-10-01,2018-11-24,2018-11-24
1145024,2003-11-01,2018-11-24,2018-11-24
1147856,2003-12-01,2018-11-24,2018-11-24
1148371,2004-01-01,2018-11-24,2018-11-24
1158920,2004-02-01,2018-11-24,2018-11-24
1168225,2004-03-01,2018-11-24,2018-11-24
1176015,2004-04-01,2018-11-24,2018-11-24
1183240,2004-05-01,2018-11-24,2018-11-24
1195345,2004-06-01,2018-11-24,2018-11-24
1207004,2004-07-01,2018-11-24,2018-11-24
1217143,2004-08-01,2018-11-24,2018-11-24
1217157,2004-09-01,2018-11-24,2018-11-24
1225013,2004-10-01,2018-11-24,2018-11-24
1238708,2004-11-01,2018-11-24,2018-11-24
1241644,2004-12-01,2018-11-24,2018-11-24
1252254,2005-01-01,2018-11-24,2018-11-24
1261388,2005-02-01,2018-11-24,2018-11-24
1269333,2005-03-01,2018-11-24,2018-11-24
1275049,2005-04-01,2018-11-24,2018-11-24
1276325,2005-05-01,2018-11-24,2018-11-24
1276258,2005-06-01,2018-11-24,2018-11-24
1270452,2005-07-01,2018-11-24,2018-11-24
1274964,2005-08-01,2018-11-24,2018-11-24
1282595,2005-09-01,2018-11-24,2018-11-24
1290978,2005-10-01,2018-11-24,2018-11-24
1300562,2005-11-01,2018-11-24,2018-11-24
1314008,2005-12-01,2018-11-24,2018-11-24
1322790,2006-01-01,2018-11-24,2018-11-24
1327258,2006-02-01,2018-11-24,2018-11-24
1340244,2006-03-01,2018-11-24,2018-11-24
1348580,2006-04-01,2018-11-24,2018-11-24
1363459,2006-05-01,2018-11-24,2018-11-24
1375697,2006-06-01,2018-11-24,2018-11-24
1380794,2006-07-01,2018-11-24,2018-11-24
1391532,2006-08-01,2018-11-24,2018-11-24
1397128,2006-09-01,2018-11-24,2018-11-24
1401613,2006-10-01,2018-11-24,2018-11-24
1407360,2006-11-01,2018-11-24,2018-11-24
1408429,2006-12-01,2018-11-24,2018-11-24
1412128,2007-01-01,2018-11-24,2018-11-24
1418825,2007-02-01,2018-11-24,2018-11-24
1420789,2007-03-01,2018-11-24,2018-11-24
1428459,2007-04-01,2018-11-24,2018-11-24
1438287,2007-05-01,2018-11-24,2018-11-24
1445437,2007-06-01,2018-11-24,2018-11-24
1447251,2007-07-01,2018-11-24,2018-11-24
1453546,2007-08-01,2018-11-24,2018-11-24
1461576,2007-09-01,2018-11-24,2018-11-24
1466360,2007-10-01,2018-11-24,2018-11-24
1475860,2007-11-01,2018-11-24,2018-11-24
1486746,2007-12-01,2018-11-24,2018-11-24
1500840,2008-01-01,2018-11-24,2018-11-24
1507215,2008-02-01,2018-11-24,2018-11-24
1506094,2008-03-01,2018-11-24,2018-11-24
1514030,2008-04-01,2018-11-24,2018-11-24
1516994,2008-05-01,2018-11-24,2018-11-24
1526594,2008-06-01,2018-11-24,2018-11-24
1537176,2008-07-01,2018-11-24,2018-11-24
1538631,2008-08-01,2018-11-24,2018-11-24
1529659,2008-09-01,2018-11-24,2018-11-24
1515588,2008-10-01,2018-11-24,2018-11-24
1495384,2008-11-01,2018-11-24,2018-11-24
1465186,2008-12-01,2018-11-24,2018-11-24
1447174,2009-01-01,2018-11-24,2018-11-24
1425444,2009-02-01,2018-11-24,2018-11-24
1405294,2009-03-01,2018-11-24,2018-11-24
1387821,2009-04-01,2018-11-24,2018-11-24
1371181,2009-05-01,2018-11-24,2018-11-24
1353923,2009-06-01,2018-11-24,2018-11-24
1339646,2009-07-01,2018-11-24,2018-11-24
1320646,2009-08-01,2018-11-24,2018-11-24
1316321,2009-09-01,2018-11-24,2018-11-24
1323131,2009-10-01,2018-11-24,2018-11-24
1332027,2009-11-01,2018-11-24,2018-11-24
1330869,2009-12-01,2018-11-24,2018-11-24
1332075,2010-01-01,2018-11-24,2018-11-24
1339405,2010-02-01,2018-11-24,2018-11-24
1347534,2010-03-01,2018-11-24,2018-11-24
1352945,2010-04-01,2018-11-24,2018-11-24
1355987,2010-05-01,2018-11-24,2018-11-24
1367582,2010-06-01,2018-11-24,2018-11-24
1379117,2010-07-01,2018-11-24,2018-11-24
1391189,2010-08-01,2018-11-24,2018-11-24
1408379,2010-09-01,2018-11-24,2018-11-24
1421940,2010-10-01,2018-11-24,2018-11-24
1431936,2010-11-01,2018-11-24,2018-11-24
1449499,2010-12-01,2018-11-24,2018-11-24
1459114,2011-01-01,2018-11-24,2018-11-24
1468300,2011-02-01,2018-11-24,2018-11-24
1487941,2011-03-01,2018-11-24,2018-11-24
1500770,2011-04-01,2018-11-24,2018-11-24
1519227,2011-05-01,2018-11-24,2018-11-24
1527406,2011-06-01,2018-11-24,2018-11-24
1532324,2011-07-01,2018-11-24,2018-11-24
1540957,2011-08-01,2018-11-24,2018-11-24
1536679,2011-09-01,2018-11-24,2018-11-24
1547435,2011-10-01,2018-11-24,2018-11-24
1555550,2011-11-01,2018-11-24,2018-11-24
1564021,2011-12-01,2018-11-24,2018-11-24
1571111,2012-01-01,2018-11-24,2018-11-24
1584463,2012-02-01,2018-11-24,2018-11-24
1591097,2012-03-01,2018-11-24,2018-11-24
1597964,2012-04-01,2018-11-24,2018-11-24
1605051,2012-05-01,2018-11-24,2018-11-24
1610164,2012-06-01,2018-11-24,2018-11-24
1621789,2012-07-01,2018-11-24,2018-11-24
1631064,2012-08-01,2018-11-24,2018-11-24
1640656,2012-09-01,2018-11-24,2018-11-24
1642468,2012-10-01,2018-11-24,2018-11-24
1649126,2012-11-01,2018-11-24,2018-11-24
1652863,2012-12-01,2018-11-24,2018-11-24
1667608,2013-01-01,2018-11-24,2018-11-24
1668919,2013-02-01,2018-11-24,2018-11-24
1667523,2013-03-01,2018-11-24,2018-11-24
1670564,2013-04-01,2018-11-24,2018-11-24
1669108,2013-05-01,2018-11-24,2018-11-24
1668877,2013-06-01,2018-11-24,2018-11-24
1673870,2013-07-01,2018-11-24,2018-11-24
1682500,2013-08-01,2018-11-24,2018-11-24
1691001,2013-09-01,2018-11-24,2018-11-24
1701395,2013-10-01,2018-11-24,2018-11-24
1709864,2013-11-01,2018-11-24,2018-11-24
1717465,2013-12-01,2018-11-24,2018-11-24
1725213,2014-01-01,2018-11-24,2018-11-24
1732824,2014-02-01,2018-11-24,2018-11-24
1738552,2014-03-01,2018-11-24,2018-11-24
1747417,2014-04-01,2018-11-24,2018-11-24
1754696,2014-05-01,2018-11-24,2018-11-24
1758338,2014-06-01,2018-11-24,2018-11-24
1764572,2014-07-01,2018-11-24,2018-11-24
1769088,2014-08-01,2018-11-24,2018-11-24
1770294,2014-09-01,2018-11-24,2018-11-24
1775710,2014-10-01,2018-11-24,2018-11-24
1777557,2014-11-01,2018-11-24,2018-11-24
1776773,2014-12-01,2018-11-24,2018-11-24
1775429,2015-01-01,2018-11-24,2018-11-24
1781807,2015-02-01,2018-11-24,2018-11-24
1783757,2015-03-01,2018-11-24,2018-11-24
1792016,2015-04-01,2018-11-24,2018-11-24
1793463,2015-05-01,2018-11-24,2018-11-24
1804563,2015-06-01,2018-11-24,2018-11-24
1806646,2015-07-01,2018-11-24,2018-11-24
1806507,2015-08-01,2018-11-24,2018-11-24
1811314,2015-09-01,2018-11-24,2018-11-24
1812836,2015-10-01,2018-11-24,2018-11-24
1807683,2015-11-01,2018-11-24,2018-11-24
1806740,2015-12-01,2018-11-24,2018-11-24
1803577,2016-01-01,2018-11-24,2018-11-24
1799352,2016-02-01,2018-11-24,2018-11-24
1807378,2016-03-01,2018-11-24,2018-11-24
1812516,2016-04-01,2018-11-24,2018-11-24
1816262,2016-05-01,2018-11-24,2018-11-24
1818644,2016-06-01,2018-11-24,2018-11-24
1816704,2016-07-01,2018-11-24,2018-11-24
1819957,2016-08-01,2018-11-24,2018-11-24
1822369,2016-09-01,2018-11-24,2018-11-24
1820454,2016-10-01,2018-11-24,2018-11-24
1832896,2016-11-01,2018-11-24,2018-11-24
1839188,2016-12-01,2018-11-24,2018-11-24
1842312,2017-01-01,2018-11-24,2018-11-24
1846792,2017-02-01,2018-11-24,2018-11-24
1851752,2017-03-01,2018-11-24,2018-11-24
1848718,2017-04-01,2018-11-24,2018-11-24
1854654,2017-05-01,2018-11-24,2018-11-24
1863379,2017-06-01,2018-11-24,2018-11-24
1869267,2017-07-01,2018-11-24,2018-11-24
1882004,2017-08-01,2018-11-24,2018-11-24
1884562,2017-09-01,2018-11-24,2018-11-24
1884919,2017-10-01,2018-11-24,2018-11-24
1893380,2017-11-01,2018-11-24,2018-11-24
1903551,2017-12-01,2018-11-24,2018-11-24
1915012,2018-01-01,2018-11-24,2018-11-24
1925817,2018-02-01,2018-11-24,2018-11-24
1923669,2018-03-01,2018-11-24,2018-11-24
1929393,2018-04-01,2018-11-24,2018-11-24
1935563,2018-05-01,2018-11-24,2018-11-24
1937569,2018-06-01,2018-11-24,2018-11-24
1950641,2018-07-01,2018-11-24,2018-11-24
1961025,2018-08-01,2018-11-24,2018-11-24
1967452,2018-09-01,2018-11-24,2018-11-24
