,part_number,class,descrip,descrip2,cost,onhand,onorder,master_list,custno,revision,aql,syscom,physical,oldcost,owner
76,2d38a3f98180,,"Cab Lock, .312 Holes, To B/P, 316SS",Right Hand : HTS ; 8301.60.0000,7.55,956,0,,,,0,,N,0,A
77,87856db59d5d,,"3/8-24 x 4 Hex Cap Gr 2, Zinc",(See Drawing FS01349)  HTS: 7318.15.2065,0,0,0,,,,0,,N,0,A
78,6d12f116f2e3,,"Screw, Heat Treated, Plated",,0.13731,-45398,0,Y,14700,1,1,,N,0,A
79,f63492d4bcc4,,MS16995-19S316L TO PRINT (6992399-1),(100 PCS/BAG),0.6,16998,0,Y,13701,NR,4,,N,0,A
80,6cb176fdcde5,,"3/8 X 1 1/4 FLAT HD ANNEALED RIVET, PLAIN",(750/BOX) *MUST BE MELTED & MFG'D IN THE USA*,0.05915,69956,0,,,,0,,N,0,A
81,4d7e59b8fd38,,"4-40 x .155 Loading Spring Screw, .08-.20 No Lead","Black Ox, R15N 88-92",0,0,0,Y,14700,12,1,,N,0,A
82,e5e23a3b7e8f,,5 Hole POINT STRAP 316 SS,"3/8"" PIN, HTS : 8302.10.6030",0,0,0,,,,0,,N,0,A
83,f15eee60c218,,0.150 x 6.51 Guide Rod AISI 4140,HRC 37-42 Black Oxide,0.207,6560,0,Y,14700,2,1,,N,0,A
84,94691d9d5d26,,.1875 x 1.260 Release Lever Pin (Old : FS01675),"AISI 52100, HRc 50-54, Black Oxide and Oil",0,0,0,,,,0,,N,0,A
85,fe4808444ae1,,"Screw, Heat Treated, Plated",,0.10977,36269,0,Y,14700,1,1,,N,0,A
86,c2a648c25a8c,,MS16629-4102,(15 PCS/BAG),0.3826,30320,0,Y,13701,E,4,,N,0,A
87,11ae8594b314,,".0936 x .427 Firing Pin, 52100 Material (17022)",Heat Treat and Nitre Black Plate HTS: 7318.29.0000,0.02585,255300,0,Y,14700,36,1,,N,0,A
88,ac82d6469f0d,,"M8 X 1.25 HEX NUT, BRASS TO PRINT",,0.04415,132000,0,,,,0,,N,0,A
89,4079736f35ba,,".156-38 x 1.195 Rear Band Screw,.08-.20 No Lead","Black Ox, R15N 88-92",0,0,0,Y,14700,12,1,,N,0,A
90,18d7b03c8e12,,"Chamber Brush .060 wire,",w/ copper based Bristles.,0.195,4000,0,Y,14700,4,1,,N,0,A
91,6ea27d15e53b,,MFG. P/N BHI-87SS CPS,,1.306,2728,0,Y,13702,A,4,,N,0,A
92,3b1ded95e0c9,,MS20823-4,,5.94,1,0,Y,17580,E,1,,N,0,A
93,77af104fc465,,"#8 SAE F/W, ZINC",(585 PCS/LB),1.191,24,0,,,,0,,N,0,A
94,09c9523d72fe,,1/4 BUTT HINGE 6 HOLE,316 STAINLESS PER DWG,4.19722,930,0,,,,0,,N,0,A
95,40304fb396c8,,6-48 NS-2 x .190 Front Sight Machine Screw,"12L14 Hardened, B/O : HTS ; 7318.15.2010",0.0338,20000,0,Y,14700,28,1,,N,0,A
96,7cc767641edd,,MS16629-4075,(100 PCS/BAG),0.35356,28571,0,Y,13701,E,4,,N,0,A
97,d558a01aa61a,,"12-9-11/8 Special Oval Quadrex, Black Phos",Particle Board Screw : HTS ; 7318.14.5000,0.01686,248500,0,Y,14700,69,1,,N,0,A
98,831c7f3f958e,,.1249 x .715 Ground Pin 52100 Material,"HT, R45N 43-49 ; Base Part 24476 (B/P 24475)",0.029,238000,0,,,,0,,N,0,A
99,3ce66b95a31d,,"1/4-28 X 5 HHCS GR 5, ZINC",HTS: 7318.15.2065,0,0,0,Y,14700,LR,1,,N,0,A
100,19ac3b895c5a,,MS16625-4025,(100 PCS/BAG),0.1074,18720,0,Y,13701,E,4,,Y,0,A
101,4c3c2fdd567e,,"6-48 x .106 +/-.010 Torx Pan MS, AS 4037 Material","HRC 33-39, Black Oxide To Print",0.02601,203901,0,Y,14700,P6,1,,N,0,A
