part_number,cost,qty_sold,Label
17bf50110374,0.5891,61,Standard
2b9d35c7bdeb,0.35,100,Standard
3c713c6c3dc8,0.3536,45,Standard
9bf4f65d67c8,0.14765,27,Overseas
79099e0c89e6,0.01497,34,Overseas
650861ea68b8,0.0838,46,Overseas
674d08b72c58,0.0032,32,Overseas
99a58db66b44,0.04123,50,Overseas
0eb5f95c28b9,0.102,38,Overseas
bd5c9ce42c43,0.64499,32,Custom
b0272c323381,0,83,Overseas
b6a2661a974f,0.03898,58,Overseas
ae89f0cfbaea,0.04465,70,Overseas
414dcbd86c1e,0.01879,35,Overseas
79d742a5b4a0,0.00783,97,Overseas
f2bdd167b1e6,0.28,60,Standard
93036cb704db,0.11767,38,Overseas
6354a9059446,0.0033,28,Overseas
d570e03632f4,0.09162,61,Overseas
1d89bf70d497,7.75,45,Custom
5f99e93e4175,0.0514,20,Overseas
18d3b4a17c77,0.33,47,Standard
eaebfc89cb7c,0.64,93,Custom
2fac394011e7,0.36842,96,Standard
8959cc9af61c,0.1191,16,Overseas
9ada2e4d70b0,0.00988,54,Overseas
07640bf163e4,0.0639,68,Overseas
6ac5906a9d07,0,43,Overseas
1f477a98c58e,0.259,22,Standard
b397ea9cc791,0,43,Overseas
2909ba62d1f8,0.13542,66,Overseas
e3016fb3ceef,7.29,3,Custom
66732a753509,0.00675,57,Overseas
634eabfd6c1b,0,2,Overseas
56e3c3944a50,0.475,29,Standard
a584526194b6,0.0186,31,Overseas
0ec30ffc77c2,0.00695,60,Overseas
98e711e2b9c6,0.16787,54,Standard
6848b685df44,0.35655,72,Standard
ca602eab82df,0.06619,68,Overseas
f94899a05222,0.01479,10,Overseas
7f07a4e8ace3,0.0424,24,Overseas
c68d6763a3d9,1.48,58,Custom
f33e468a692b,0.02388,81,Overseas
0c15fdf3e43e,1.2,64,Custom
f1cc4aa93963,0.09454,74,Overseas
784a01fd01bf,0.28142,69,Standard
0e1c9467314e,0.9,63,Custom
8d740524b621,0.014,40,Overseas
c95a30fb4659,0.05496,33,Overseas
d8f6a83f2b0a,0.38,40,Standard
e1da73d425e4,0.01095,9,Overseas
d81970aec6ad,0.0058,54,Overseas
2b37b8e329df,0.01847,39,Overseas
474c751597f2,0,51,Overseas
081773eb3afc,0.043,84,Overseas
24bc75778b66,0.00585,61,Overseas
15273e9f3f00,0.00781,45,Overseas
0494283540a7,0.054,72,Overseas
fbf95854d975,0,97,Overseas
de5501dcd018,0.455,99,Standard
1f36ff137074,0.25,22,Standard
441157c029ab,0.36,12,Standard
12647c589b25,0.12516,64,Overseas
88d3fc1cef30,0.015,8,Overseas
364dd9123c6d,0.0115,34,Overseas
5d726541d9b7,1.89,87,Custom
b8bb614fe47c,0.00719,66,Overseas
787b4383de29,0.1186,31,Overseas
9221eb912a1d,0.008,36,Overseas
738d671144e9,0.06348,76,Overseas
04af35a2fa88,0,34,Overseas
f9a97e97ef88,0.075,69,Overseas
1959446d003e,0,63,Overseas
4663c9271e86,0.4,14,Standard
6372b35ae986,0.19,89,Standard
48dadb4075fe,0.02585,7,Overseas
7ecf926cb0f6,0.01535,53,Overseas
ef1f7e5627ed,0.22491,28,Standard
f1f12c180edd,0.18,97,Standard
81bd5901507c,0.39927,63,Standard
37920d11c74d,0.01776,79,Overseas
2c1ff28d2c44,0.04227,4,Overseas
c5236a7af350,0.5475,34,Standard
7fa2324cc9d0,0.01929,51,Overseas
57506053b71c,0.0546,53,Overseas
208ff3e5f1b1,0.0962,77,Overseas
8ac27bcee1d3,0.2,83,Standard
e4d4bf4f8c23,2.25,95,Custom
aa955d2b84a2,0.00687,29,Overseas
86a7325ff12c,2.888,62,Custom
35862ac43d36,0.395,76,Standard
a7890a42e021,0.0085,4,Overseas
d68d705bc147,0.0026,65,Overseas
05f87b1de64c,0.0486,53,Overseas
b8b14129cd42,0.54,89,Custom
d363d22337fb,0.22293,66,Standard
78c90bcfe011,0.04,36,Overseas
cd2d0c5c67b1,0.0047,88,Overseas
20bc9307bc41,0.1602,36,Standard
21b60aee26c3,0.02367,85,Overseas
32c3b51ce69c,0.05,99,Overseas
d3817b162a60,4.17694,1,Custom
1d1242baeb22,1.21595,12,Custom
9d5016543b6e,0.04,60,Overseas
1160ae482cbd,0,80,Overseas
1d3432df1be5,0.12,49,Overseas
5c136b76c9e9,0.9,95,Custom
1eaef2e9540b,0.0863,51,Overseas
51749ab19152,0.1805,90,Standard
cc1e03e5c9c2,0.02866,80,Overseas
8d284ad45c05,0.00494,89,Overseas
726f3b989ed5,1.2,53,Custom
1c3ecc93cb49,0,18,Overseas
04ec2a5aca1d,0.00727,80,Overseas
b0614327944b,0.049,98,Overseas
9056877c8d92,0.0257,11,Overseas
36c7974e33df,0.01,25,Overseas
553010928efd,3.58,12,Custom
7c59c64efc38,0.012,9,Overseas
bb6bdacd0d6c,0.035,98,Overseas
510b59b11020,0,66,Overseas
7e82f999fdaa,0.021,46,Overseas
884ff7193f09,0.0466,79,Overseas
d18634a138b0,0.05496,79,Overseas
15d527c05131,0.08635,64,Overseas
4919ddd25ce7,0.05491,22,Overseas
ae32c52572c0,6.1,49,Custom
dd41a38359c9,0.027,56,Overseas
6845a4253e4a,1.22,10,Custom
3120f8837aeb,0.064,22,Overseas
